source,country,query,title,company,location,salary_min,salary_max,description,created,scraped_at,country_name,skills,salary_avg
adzuna,nl,javascript developer,PHP developer,Bold Company,Nederland,,,"Wij zoeken een PHP Developer die volledig zelfstandig zijn bijdragen kan leveren aan het ontwikkelen van onderwijs tools. Net zoals onze developers op kantoor word jij enthousiast van SaaS-software die altijd functioneert. Je maakt samen met een klein team innovatieve producten, dit betekend dat je sterk op elkaar aangewezen bent en een echte teamspeler ben. Jouw werkzaamheden zullen voornamelijk bestaan uit het bouwen van nieuwe functionaliteiten , gebruiksvriendelijkheid en API-koppelingen . …",2025-06-19 04:41:31+00:00,2025-06-30 19:53:58.703231,Netherlands,[],
adzuna,nl,javascript developer,".NET Software Engineer - Amsterdam, Netherlands",Noir,"Amsterdam, Noord-Holland",60000.0,84000.0,".NET Software Engineer - Amsterdam, Netherlands (Tech stack: .NET Software Engineer, .NET 8, C#, Azure, Angular 17, Multithreading, RESTful, Web API 2, JavaScript, Programmer, Full Stack Developer, Architect, Ontwikkelaar, .NET Software Engineer) After 15 years' experience in the fashion industry, our client has a mission to change the way people find clothes they love by combining technology with the personal touch of seasoned style experts. Our client is not merely concerned with supplying cl…",2025-06-24 09:54:03+00:00,2025-06-30 19:53:58.703234,Netherlands,[],72000.0
adzuna,nl,javascript developer,".NET Software Engineer, .NET 8, C#, Agile - Almere",Noir,"Almere, Flevoland",72000.0,96000.0,".NET Software Engineer, .NET 8, C#, Agile - Almere, Netherlands (Tech stack: .NET Software Engineer, .NET 8, C#, Azure, Angular 17, Multithreading, RESTful, Web API 2, JavaScript, Programmer, Full Stack Developer, Architect, .NET Software Engineer) Our client is a global innovator who builds software products and apps that are defining the way individuals and teams work today. They make it easy for users and to achieve their personal and professional goals and to ultimately be 'a better you' at…",2025-06-24 09:54:03+00:00,2025-06-30 19:53:58.703237,Netherlands,[],84000.0
adzuna,nl,javascript developer,Frontend Developer - Eindhoven,Noir,Nederland,45000.0,66000.0,"Frontend Developer - Global Internet Icon - Eindhoven, Netherlands (Tech stack: Frontend Developer, HTML, CSS, TypeScript, JavaScript, jQuery, React, VueJS, Web, UI, UX, User Interface, User Experience, Front End, Frontend Developer) Our client, a longstanding internet icon that has evolved into a diversified modern media company, is embarking on one of the most ambitious projects since the inception of the World Wide Web. We are actively seeking a Frontend Developer to join this exciting ventu…",2025-06-24 09:54:03+00:00,2025-06-30 19:53:58.703241,Netherlands,[],55500.0
adzuna,nl,javascript developer,Front-end developer | Fulfillment,Haystack People,Nederland,,,"Wil jij als front-ender werken aan de software die voorafgaat aan de meeste pakketjes die jij online besteld? Lees dan verder! Wat doen ze? Onze klant is een toonaangevende speler in de logistieke e-commerce markt en helpt bedrijven met het volledig ontzorgen van hun logistiek. Het in-house ontwikkelde platform speelt hierbij een cruciale rol. Onze klant gelooft in een open bedrijfscultuur waarin innovatie, samenwerking en ontwikkeling centraal staan. Al meer dan 20 jaar is onze klant actief bi…",2025-05-11 09:53:37+00:00,2025-06-30 19:53:58.703244,Netherlands,[],
adzuna,nl,javascript developer,Frontend Developer - Rotterdam,Noir,"Rotterdam, Zuid-Holland",60000.0,84000.0,"Frontend Developer - Social Messaging Platform - Rotterdam, Netherlands (Tech stack: Frontend Developer, HTML, CSS, TypeScript, JavaScript, Angular, React, VueJS, jQuery, Web, UI, UX, User Interface, User Experience, Front End, Frontend Developer) In 2012, our client launched a social messaging platform that has been making waves in the US. Following a period of remarkable success, the company has decided to extend its reach across the Atlantic, aiming to establish a strong presence in the UK a…",2025-06-24 09:54:03+00:00,2025-06-30 19:53:58.703247,Netherlands,[],72000.0
adzuna,nl,javascript developer,.NET Software Engineer - Global Phenomenon - Amsterdam,Noir,"Amsterdam, Noord-Holland",48000.0,72000.0,".NET Software Engineer - Global Phenomenon - Amsterdam, Netherlands (Tech stack: .NET Software Engineer, .NET 8, C#, Azure, Angular 17, Multithreading, RESTful, Web API 2, JavaScript, Programmer, Full Stack Developer, Architect, Ontwikkelaar, .NET Software Engineer) Our client has created a global phenomenon, connecting people online to unique travel experiences, in more than 60,000 cities and 180 countries. As they approach their 10th anniversary they are looking to produce a revolutionary set…",2025-06-24 09:54:03+00:00,2025-06-30 19:53:58.703250,Netherlands,[],60000.0
adzuna,nl,javascript developer,Software Ontwikkelaar,Jelling,"Helmond, Noord-Brabant",,,"€ 4.500,- | Software Developer | Flexibele werktijden | Javascript | Solliciteer snel. Functieomschrijving Ben je op zoek naar een nieuwe werkomgeving waar je aanzienlijke vrijheid hebt en ook inspraak hebt in de software en processen? Dit is jouw kans! Je zult aan de slag gaan in de rol van Fullstack Developer en zowel bestaande interne software verder ontwikkelen als nieuwe softwareconcepten bedenken en bouwen. Je bent een waardevol lid van een team van fullstack developers die een grote pass…",2025-06-27 08:15:27+00:00,2025-06-30 19:53:58.703254,Netherlands,[],
adzuna,nl,javascript developer,Asset & Wealth Management - Front End Engineer - Analyst - The Hague,Goldman Sachs,Nederland,,,"Description GSAM is the asset management arm of Goldman Sachs, which supervises more than $1.8 trillion in assets. Goldman Sachs Asset Management has been providing discretionary investment advisory services since 1988 and has investment professionals in all major financial centers around the world. Our team of engineers builds solutions to the most complex problems. We develop cutting-edge digital platform and processes that form the core of our key business and enable several marketing and sa…",2025-05-16 11:38:22+00:00,2025-06-30 19:53:58.703257,Netherlands,[],
adzuna,nl,javascript developer,Developer Support Specialist,Telnyx,Nederland,,,"About Telnyx Telnyx is an industry leader that's not just imagining the future of global connectivity—we're building it. From architecting and amplifying the reach of a private, global, multi-cloud IP network , to bringing hyperlocal edge technology right to your fingertips through intuitive APIs, we're shaping a new era of seamless interconnection between people, devices, and applications. We're driven by a desire to transform and modernize what's antiquated, automate the manual, and solve rea…",2025-05-30 11:40:39+00:00,2025-06-30 19:53:58.703260,Netherlands,[],
